Stock Name,Action,Quantity,Executed Price
RAILTEL,BUY,200,305.85
BUY,BUY,500,230.05
NETWEB,BUY,1,4464.0
NAMINDIA,BUY,5,1052.0
NAMINDIA,BUY,5,1090.0
