Stock Name,Action,Quantity,Executed Price
RAILTEL,BUY,200,305.85
RVNL,BUY,500,230.05
RVNL,SELL,500,232.0
RAILTEL,SELL,200,310.0
ARESM,BUY,5,842.0
LT,BUY,2,3902.0
NETWEB,BUY,5,1052.0
VBL,BUY,10,515.0
